recommended_from,recommended_to,support,confidence,lift,antecedent_length,consequent_length
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0204,0.7683,27.1973,1,1
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0204,0.723,27.1973,1,1
"ROSES REGENCY TEACUP AND SAUCER , GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.0273,0.7029,18.041,2,1
PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER , GREEN REGENCY TEACUP AND SAUCER",0.0273,0.7009,18.041,1,2
"ROSES REGENCY TEACUP AND SAUCER , PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.0273,0.9028,17.4535,2,1
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER , PINK REGENCY TEACUP AND SAUCER",0.0273,0.5279,17.4535,1,2
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,0.0273,0.8542,16.0996,2,1
ROSES REGENCY TEACUP AND SAUCER ,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.0273,0.5146,16.0996,1,2
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.032,0.8205,15.8635,1,1
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.032,0.618,15.8635,1,1
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,0.0236,0.6094,15.6655,1,1
SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,0.0236,0.6077,15.6655,1,1
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.0208,0.5557,14.7042,1,1
WOODLAND CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.0208,0.5492,14.7042,1,1
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.0302,0.7764,14.633,1,1
ROSES REGENCY TEACUP AND SAUCER ,PINK REGENCY TEACUP AND SAUCER,0.0302,0.5701,14.633,1,1
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,0.03,0.7213,14.4741,1,1
GARDENERS KNEELING PAD KEEP CALM ,GARDENERS KNEELING PAD CUP OF TEA ,0.03,0.6024,14.4741,1,1
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.0201,0.5379,14.4015,1,1
CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,0.0201,0.5379,14.4015,1,1
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0266,0.7117,14.2025,1,1
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.0266,0.5305,14.2025,1,1
